,Date,Price,NearStat,StatDist(miles),Prop_Type,Bedrooms,Bathrooms,Floor_Size,Outdoor,Portered,Contract_Type,Outcode,Outcode2,Outcode3,Postcode,Centrality,North,Links,Date_Scraped,Avg_price
928,20220708.0,525000.0,Gloucester Road Station,0.2,Maisonette,,,,1.0,1.0,Leasehold,SW7,SW7,SW74,SW74XB,4.332051812473655,1.0,,2022-09-02,238.0
929,20220701.0,599950.0,Notting Hill Gate Station,0.2,Flat,1.0,1.0,,0.0,1.0,Leasehold,W11,W11,W113,W113RL,5.087957614998574,1.0,,2022-09-02,359.0
930,20220727.0,750000.0,Queen's Park Station,0.4,Flat,2.0,2.0,950.0,0.0,0.0,Leasehold,W9,W9,W93,W93JJ,5.784404258626268,1.0,,2022-09-02,79.0
931,20220702.0,700000.0,Kilburn High Road Station,0.1,Flat,3.0,2.0,,0.0,0.0,Freehold,NW6,NW6,NW64,NW64AB,5.511755984354072,1.0,,2022-09-02,97.0
932,20220727.0,500000.0,Vauxhall Station,0.4,Flat,1.0,1.0,,0.0,0.0,Leasehold,SE1,SE1,SE17,SE17HB,1.8479451080715408,0.0,,2022-09-02,152.0
933,20220727.0,650000.0,Great Portland Street Station,0.2,Apartment,1.0,1.0,,0.0,0.0,Leasehold,NW1,NW1,NW14,NW14EB,2.4088985271331698,1.0,,2022-09-02,457.0
934,20220727.0,535000.0,Kilburn High Road Station,0.3,,1.0,1.0,,1.0,0.0,Leasehold,NW6,NW6,NW64,NW64TA,5.985691685607266,1.0,,2022-09-02,97.0
935,20220517.0,600000.0,Kilburn Park Station,0.1,Flat,2.0,2.0,,0.0,0.0,Leasehold,NW6,NW6,NW65,NW65FR,5.675835266083568,1.0,,2022-09-02,65.0
936,20220727.0,475000.0,West Hampstead Thameslink Station,0.4,Flat,2.0,1.0,,0.0,0.0,Leasehold,NW6,NW6,NW61,NW61UJ,6.949455306803325,1.0,,2022-09-02,128.0
937,20220526.0,595000.0,Pimlico Station,0.5,Flat,3.0,1.0,834.0,1.0,0.0,Leasehold,SW1V,SW1,SW1V3,SW1V3HQ,2.5703727601406343,1.0,,2022-09-02,159.0
938,20220329.0,450000.0,Angel Station,0.3,Flat,1.0,1.0,,0.0,0.0,Leasehold,N1,N1,N10,N10NY,3.560564216940893,1.0,,2022-09-02,143.0
939,20210927.0,800000.0,Kentish Town West Station,0.1,Apartment,2.0,2.0,,0.0,0.0,Leasehold,NW5,NW5,NW53,NW53AW,4.503724361268673,1.0,,2022-09-02,131.0
940,20220727.0,450000.0,Kilburn Park Station,0.2,Flat,1.0,1.0,626.0,0.0,0.0,Freehold,NW6,NW6,NW66,NW66AD,5.768504328622844,1.0,,2022-09-02,161.0
941,20220727.0,750000.0,St. John's Wood Station,0.5,Apartment,2.0,1.0,,0.0,0.0,Leasehold,NW8,NW8,NW89,NW89HP,3.959078564980256,1.0,,2022-09-02,238.0
942,20220727.0,715000.0,St. John's Wood Station,0.4,Flat,1.0,1.0,535.0,1.0,0.0,Leasehold,NW8,NW8,NW87,NW87HB,3.823530198233532,1.0,,2022-09-02,252.0
943,20220705.0,499950.0,Great Portland Street Station,0.1,Flat,1.0,1.0,,0.0,0.0,Leasehold,W1T,W1,W1T6,W1T6PQ,2.0061536587899647,1.0,,2022-09-02,369.0
944,20220727.0,650000.0,Royal Oak Station,0.3,Flat,3.0,1.0,,1.0,0.0,Leasehold,W2,W2,W26,W26EJ,4.055453786171827,1.0,,2022-09-02,111.0
945,20220727.0,715000.0,St. John's Wood Station,0.4,Flat,1.0,1.0,,0.0,0.0,Leasehold,NW8,NW8,NW87,NW87HB,3.8423762704918105,1.0,,2022-09-02,252.0
946,20220727.0,710000.0,Battersea Power Underground Station,0.2,Studio,0.0,1.0,694.0,1.0,1.0,Leasehold,SW11,SW11,SW118,SW118EN,3.067792015104525,0.0,,2022-09-02,185.0
947,20220816.0,799950.0,Marylebone Station,0.2,Apartment,1.0,1.0,524.0,1.0,0.0,Freehold,W1H,W1,W1H2,W1H2JR,2.571496861412635,1.0,,2022-09-02,269.0
948,20220726.0,600000.0,Royal Oak Station,0.2,Flat,3.0,1.0,,1.0,0.0,Leasehold,W2,W2,W26,W26PG,4.467479897277445,1.0,,2022-09-02,111.0
949,20220316.0,650000.0,Gloucester Road Station,0.2,Flat,1.0,1.0,517.0,1.0,0.0,Freehold,SW5,SW5,SW50,SW50LD,4.2567526196639776,1.0,,2022-09-02,265.0
950,20220808.0,650000.0,Holborn Station,0.2,Apartment,1.0,1.0,,0.0,1.0,Leasehold,WC1A,WC1,WC1A2,WC1A2JR,1.247230339238827,1.0,,2022-09-02,111.0
951,20220726.0,600000.0,Royal Oak Station,0.2,Flat,3.0,1.0,,1.0,0.0,Leasehold,W2,W2,W26,W26PG,4.467479897277445,1.0,,2022-09-02,111.0
952,20220316.0,650000.0,Gloucester Road Station,0.2,Flat,1.0,1.0,517.0,1.0,0.0,Freehold,SW5,SW5,SW50,SW50LD,4.2567526196639776,1.0,,2022-09-02,265.0
